time,odom_x,odom_y,kf_x,kf_y,kf_cov_x,kf_cov_y,kf_cov_yaw,ekf_x,ekf_y,ekf_cov_x,ekf_cov_y,ekf_cov_yaw,pf_x,pf_y,pf_cov_x,pf_cov_y,pf_cov_yaw,kf_rmse,ekf_rmse,pf_rmse
0.040000,0.000000,-0.000000,-0.000000,0.000000,0.011000,0.011000,0.011000,0.000000,-0.000000,0.020004,0.020004,0.011003,-0.000963,-0.000537,0.000000,0.000000,0.000000,0.000000,0.000000,0.001103
0.060000,0.000000,-0.000000,0.000000,0.000000,0.021005,0.021005,0.021003,0.000000,-0.000000,0.030019,0.030026,0.012010,-0.002807,-0.001564,0.000000,0.000000,0.000000,0.000000,0.000000,0.002402
0.080000,0.000000,-0.000000,0.000000,0.000000,0.031014,0.031014,0.031009,0.000000,-0.000000,0.040038,0.040060,0.013017,-0.003462,0.002092,0.000000,0.000000,0.000000,0.000000,0.000000,0.003050
0.100000,0.000000,-0.000000,0.000000,0.000000,0.041028,0.041028,0.041016,0.000000,-0.000000,0.050060,0.050101,0.014025,-0.003939,0.002007,0.000000,0.000000,0.000000,0.000000,0.000000,0.003444
0.120000,0.000000,-0.000000,0.000000,0.000000,0.051045,0.051045,0.051024,0.000000,-0.000000,0.060081,0.060142,0.015034,-0.003669,-0.000077,0.000000,0.000000,0.000000,0.000000,0.000000,0.003490
0.140000,0.000000,-0.000000,0.000000,0.000000,0.061064,0.061064,0.061032,0.000000,-0.000000,0.070102,0.070184,0.016042,-0.005213,0.000243,0.000000,0.000000,0.000000,0.000000,0.000000,0.003833
0.160000,0.000000,-0.000000,0.000000,0.000000,0.071083,0.071083,0.071041,0.000000,-0.000000,0.080123,0.080226,0.017051,-0.012608,-0.000234,0.000000,0.000000,0.000000,0.000000,0.000000,0.005942
0.180000,0.000000,-0.000000,0.000000,0.000000,0.081103,0.081103,0.081049,0.000000,-0.000000,0.090144,0.090268,0.018059,-0.011592,0.001203,0.000000,0.000000,0.000000,0.000000,0.000000,0.006919
0.200000,0.000000,-0.000000,0.000000,0.000000,0.091123,0.091123,0.091057,0.000000,-0.000000,0.100165,0.100310,0.019067,-0.013855,0.003581,0.000000,0.000000,0.000000,0.000000,0.000000,0.008081
0.220000,0.000000,-0.000000,0.000000,0.000000,0.101144,0.101144,0.101065,0.000000,-0.000000,0.110186,0.110352,0.020076,-0.008299,0.004558,0.000000,0.000000,0.000000,0.000000,0.000000,0.008230
