time,odom_x,odom_y,kf_x,kf_y,kf_cov_x,kf_cov_y,kf_cov_yaw,ekf_x,ekf_y,ekf_cov_x,ekf_cov_y,ekf_cov_yaw,pf_x,pf_y,pf_cov_x,pf_cov_y,pf_cov_yaw,kf_rmse,ekf_rmse,pf_rmse
0.040000,0.000000,-0.000000,-0.000000,0.000000,0.101016,0.101016,0.101008,0.000000,-0.000000,0.110028,0.110031,0.101011,-0.000963,-0.000537,0.000000,0.000000,0.000000,0.000000,0.000000,0.001103
0.060000,0.000000,-0.000000,0.000000,0.000000,0.102037,0.102037,0.102017,0.000000,-0.000000,0.120055,0.120074,0.102022,-0.002807,-0.001564,0.000000,0.000000,0.000000,0.000000,0.000000,0.002402
0.080000,0.000000,-0.000000,0.000000,0.000000,0.103058,0.103058,0.103026,0.000000,-0.000000,0.130079,0.130118,0.103033,-0.003462,0.002092,0.000000,0.000000,0.000000,0.000000,0.000000,0.003050
0.100000,0.000000,-0.000000,0.000000,0.000000,0.104082,0.104082,0.104036,0.000000,-0.000000,0.140102,0.140163,0.104043,-0.003939,0.002007,0.000000,0.000000,0.000000,0.000000,0.000000,0.003444
0.120000,0.000000,-0.000000,0.000000,0.000000,0.105103,0.105103,0.105045,0.000000,-0.000000,0.150124,0.150207,0.105052,-0.003669,-0.000077,0.000000,0.000000,0.000000,0.000000,0.000000,0.003490
0.140000,0.000000,-0.000000,0.000000,0.000000,0.106124,0.106124,0.106053,0.000000,-0.000000,0.160147,0.160252,0.106061,-0.005213,0.000243,0.000000,0.000000,0.000000,0.000000,0.000000,0.003833
0.160000,0.000000,-0.000000,0.000000,0.000000,0.107146,0.107146,0.107062,0.000000,-0.000000,0.170167,0.170293,0.107069,-0.012608,-0.000234,0.000000,0.000000,0.000000,0.000000,0.000000,0.005942
0.180000,0.000000,-0.000000,0.000000,0.000000,0.108168,0.108168,0.108071,0.000000,-0.000000,0.180189,0.180337,0.108079,-0.011592,0.001203,0.000000,0.000000,0.000000,0.000000,0.000000,0.006919
0.200000,0.000000,-0.000000,0.000000,0.000000,0.109190,0.109190,0.109080,0.000000,-0.000000,0.190211,0.190381,0.109087,-0.013855,0.003581,0.000000,0.000000,0.000000,0.000000,0.000000,0.008081
0.220000,0.000000,-0.000000,0.000000,0.000000,0.110215,0.110215,0.110090,0.000000,-0.000000,0.200235,0.200428,0.110097,-0.008299,0.004558,0.000000,0.000000,0.000000,0.000000,0.000000,0.008230
0.240000,0.000000,-0.000000,0.000000,0.000000,0.111235,0.111235,0.111098,0.000000,-0.000000,0.210257,0.210472,0.111105,-0.008483,-0.002451,0.000000,0.000000,0.000000,0.000000,0.000000,0.008287
0.260000,0.000000,-0.000000,0.000000,0.000000,0.112257,0.112257,0.112107,0.000000,-0.000000,0.220278,0.220515,0.112114,-0.012041,-0.008189,0.000000,0.000000,0.000000,0.000000,0.000000,0.008979
0.280000,0.000000,-0.000000,0.000000,0.000000,0.113278,0.113278,0.113116,0.000000,-0.000000,0.230299,0.230556,0.113122,-0.010630,-0.014435,0.000000,0.000000,0.000000,0.000000,0.000000,0.009957
0.300000,0.000000,-0.000000,0.000000,0.000000,0.114301,0.114301,0.114125,0.000000,-0.000000,0.240322,0.240603,0.114132,-0.011403,-0.015890,0.000000,0.000000,0.000000,0.000000,0.000000,0.010926
0.320000,0.000000,-0.000000,0.000000,0.000000,0.115321,0.115321,0.115133,0.000000,-0.000000,0.250342,0.250643,0.115140,-0.013576,-0.012272,0.000000,0.000000,0.000000,0.000000,0.000000,0.011565
0.340000,0.000000,-0.000000,0.000000,0.000000,0.116342,0.116342,0.116141,0.000000,-0.000000,0.260362,0.260684,0.116148,-0.012859,-0.005232,0.000000,0.000000,0.000000,0.000000,0.000000,0.011723
