time,odom_x,odom_y,kf_x,kf_y,kf_cov_x,kf_cov_y,kf_cov_yaw,ekf_x,ekf_y,ekf_cov_x,ekf_cov_y,ekf_cov_yaw,pf_x,pf_y,pf_cov_x,pf_cov_y,pf_cov_yaw,kf_rmse,ekf_rmse,pf_rmse
0.040000,0.000000,-0.000000,-0.000000,0.000000,0.011000,0.011000,0.011000,0.000000,-0.000000,0.020004,0.020004,0.011003,-0.000963,-0.000537,0.000000,0.000000,0.000000,0.000000,0.000000,0.001103
0.060000,0.000000,-0.000000,0.000000,0.000000,0.021004,0.021004,0.021003,0.000000,-0.000000,0.030019,0.030009,0.012010,-0.002807,-0.001564,0.000000,0.000000,0.000000,0.000000,0.000000,0.002402
0.080000,0.000000,-0.000000,0.000000,0.000000,0.031014,0.031014,0.031009,0.000000,-0.000000,0.040039,0.040013,0.013018,-0.003462,0.002092,0.000000,0.000000,0.000000,0.000000,0.000000,0.003050
0.100000,0.000000,-0.000000,0.000000,0.000000,0.041028,0.041028,0.041016,0.000000,-0.000000,0.050060,0.050017,0.014026,-0.003939,0.002007,0.000000,0.000000,0.000000,0.000000,0.000000,0.003444
0.120000,0.000000,-0.000000,0.000000,0.000000,0.051045,0.051045,0.051024,0.000000,-0.000000,0.060081,0.060022,0.015034,-0.003669,-0.000077,0.000000,0.000000,0.000000,0.000000,0.000000,0.003490
0.140000,0.000000,-0.000000,0.000000,0.000000,0.061064,0.061064,0.061032,0.000000,-0.000000,0.070102,0.070026,0.016042,-0.005213,0.000243,0.000000,0.000000,0.000000,0.000000,0.000000,0.003833
0.160000,0.000000,-0.000000,0.000000,0.000000,0.071083,0.071083,0.071041,0.000000,-0.000000,0.080124,0.080030,0.017051,-0.012608,-0.000234,0.000000,0.000000,0.000000,0.000000,0.000000,0.005942
0.180000,0.000000,-0.000000,0.000000,0.000000,0.081103,0.081103,0.081049,0.000000,-0.000000,0.090145,0.090034,0.018059,-0.011592,0.001203,0.000000,0.000000,0.000000,0.000000,0.000000,0.006919
0.200000,0.000000,-0.000000,0.000000,0.000000,0.091123,0.091123,0.091057,0.000000,-0.000000,0.100165,0.100038,0.019067,-0.013855,0.003581,0.000000,0.000000,0.000000,0.000000,0.000000,0.008081
0.220000,0.000000,-0.000000,0.000000,0.000000,0.101144,0.101144,0.101066,0.000000,-0.000000,0.110186,0.110043,0.020076,-0.008299,0.004558,0.000000,0.000000,0.000000,0.000000,0.000000,0.008230
0.240000,0.000000,-0.000000,0.000000,0.000000,0.111164,0.111164,0.111074,0.000000,-0.000000,0.120207,0.120047,0.021084,-0.008483,-0.002451,0.000000,0.000000,0.000000,0.000000,0.000000,0.008287
0.260000,0.000000,-0.000000,0.000000,0.000000,0.121185,0.121185,0.121082,0.000000,-0.000000,0.130228,0.130051,0.022092,-0.012041,-0.008189,0.000000,0.000000,0.000000,0.000000,0.000000,0.008979
0.280000,0.000000,-0.000000,0.000000,0.000000,0.131206,0.131206,0.131091,0.000000,-0.000000,0.140248,0.140055,0.023101,-0.010630,-0.014435,0.000000,0.000000,0.000000,0.000000,0.000000,0.009957
0.300000,0.000000,-0.000000,0.000000,0.000000,0.141226,0.141226,0.141099,0.000000,-0.000000,0.150269,0.150059,0.024109,-0.011403,-0.015890,0.000000,0.000000,0.000000,0.000000,0.000000,0.010926
0.320000,0.000000,-0.000000,0.000000,0.000000,0.151248,0.151248,0.151107,0.000000,-0.000000,0.160291,0.160063,0.025117,-0.013576,-0.012272,0.000000,0.000000,0.000000,0.000000,0.000000,0.011565
0.340000,0.000000,-0.000000,0.000000,0.000000,0.161276,0.161276,0.161119,0.000000,-0.000000,0.170319,0.170069,0.026129,-0.012859,-0.005232,0.000000,0.000000,0.000000,0.000000,0.000000,0.011723
0.360000,0.000000,-0.000000,0.000000,0.000000,0.171303,0.171303,0.171130,0.000000,-0.000000,0.180347,0.180075,0.027140,-0.018312,-0.003950,0.000000,0.000000,0.000000,0.000000,0.000000,0.012247
0.380000,0.000000,-0.000000,0.000000,0.000000,0.181330,0.181330,0.181141,0.000000,-0.000000,0.190374,0.190080,0.028150,-0.017343,-0.015599,0.000000,0.000000,0.000000,0.000000,0.000000,0.013111
0.400000,0.000000,-0.000000,0.000000,0.000000,0.191354,0.191354,0.191150,0.000000,-0.000000,0.200399,0.200085,0.029160,-0.017381,-0.006755,0.000000,0.000000,0.000000,0.000000,0.000000,0.013459
0.420000,0.000000,-0.000000,0.000000,0.000000,0.201381,0.201381,0.201161,0.000000,-0.000000,0.210427,0.210091,0.030171,-0.013705,-0.009809,0.000000,0.000000,0.000000,0.000000,0.000000,0.013649
0.440000,0.000000,-0.000000,0.000000,0.000000,0.211405,0.211405,0.211171,0.000000,-0.000000,0.220451,0.220096,0.031181,-0.008371,-0.007579,0.000000,0.000000,0.000000,0.000000,0.000000,0.013546
0.460000,0.000000,-0.000000,0.000000,0.000000,0.221431,0.221431,0.221181,0.000000,-0.000000,0.230476,0.230101,0.032191,-0.013425,-0.009730,0.000000,0.000000,0.000000,0.000000,0.000000,0.013698
0.480000,0.000000,-0.000000,0.000000,0.000000,0.231457,0.231457,0.231192,-0.000000,0.000000,0.240503,0.240106,0.033202,-0.007942,-0.012338,0.000000,0.000000,0.000000,0.000000,0.000000,0.013742
0.500000,0.000000,-0.000000,0.000000,0.000000,0.241481,0.241481,0.241201,-0.000000,0.000000,0.250527,0.250111,0.034211,-0.013866,-0.015100,0.000000,0.000000,0.000000,0.000000,0.000000,0.014089
0.520000,0.000000,-0.000000,0.000000,0.000000,0.251506,0.251506,0.251211,-0.000000,0.000000,0.260551,0.260116,0.035221,-0.014211,-0.013029,0.000000,0.000000,0.000000,0.000000,0.000000,0.014332
